"","service","years","censor"
"1","salloon",1,"interval"
"2","salloon",1,"interval"
"3","salloon",1,"interval"
"4","salloon",1,"interval"
"5","salloon",1,"interval"
"6","salloon",1,"interval"
"7","salloon",1,"interval"
"8","salloon",1,"interval"
"9","salloon",1,"interval"
"10","salloon",1,"interval"
"11","salloon",1,"interval"
"12","salloon",1,"interval"
"13","salloon",1,"interval"
"14","salloon",1,"interval"
"15","salloon",1,"interval"
"16","salloon",1,"interval"
"17","salloon",1,"interval"
"18","salloon",1,"interval"
"19","salloon",1,"interval"
"20","salloon",1,"interval"
"21","salloon",1,"interval"
"22","salloon",1,"interval"
"23","salloon",1,"interval"
"24","salloon",1,"interval"
"25","salloon",1,"interval"
"26","salloon",1,"interval"
"27","salloon",1,"interval"
"28","salloon",1,"interval"
"29","salloon",1,"interval"
"30","salloon",1,"interval"
"31","salloon",1,"interval"
"32","salloon",1,"interval"
"33","salloon",1,"interval"
"34","salloon",1,"interval"
"35","salloon",1,"interval"
"36","salloon",1,"interval"
"37","salloon",1,"interval"
"38","salloon",1,"interval"
"39","salloon",1,"interval"
"40","salloon",1,"interval"
"41","salloon",1,"interval"
"42","salloon",1,"interval"
"43","salloon",1,"interval"
"44","salloon",1,"interval"
"45","salloon",1,"interval"
"46","salloon",1,"interval"
"47","salloon",1,"interval"
"48","salloon",1,"interval"
"49","salloon",1,"interval"
"50","salloon",1,"interval"
"51","salloon",1,"interval"
"52","salloon",1,"interval"
"53","salloon",1,"interval"
"54","salloon",1,"interval"
"55","salloon",1,"interval"
"56","salloon",1,"interval"
"57","salloon",1,"interval"
"58","salloon",1,"interval"
"59","salloon",1,"interval"
"60","salloon",1,"interval"
"61","salloon",1,"interval"
"62","salloon",1,"interval"
"63","salloon",1,"interval"
"64","salloon",1,"interval"
"65","salloon",1,"interval"
"66","salloon",1,"interval"
"67","salloon",1,"interval"
"68","salloon",1,"interval"
"69","salloon",1,"interval"
"70","salloon",1,"interval"
"71","salloon",1,"interval"
"72","salloon",1,"interval"
"73","salloon",1,"interval"
"74","salloon",1,"interval"
"75","salloon",1,"interval"
"76","salloon",1,"interval"
"77","salloon",1,"interval"
